;;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
images parfums;Lien de redirection;Marque;Parfumeur;Année de lancement;Nom du Parfum;Notedominante;Epicee;Ambree;Boisee Mousse;Cuir;Aromatique;Florale;Hesperidee;Boisee;Florale Fraiche;Balsamique;Verte;Florale Rosee;Musquee;Fruitee;Florale Poudree;Marine;Fleur D'Oranger;Conifere Terpenique;Aldehydee
https://www.dropbox.com/scl/fo/gb3ujb9g7mqfzcffm66ky/AMgCKG0V-vspnhJOE551WRw?rlkey=75zvxk9xkhxkph8ba6ra4uqf4&st=09dab496&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Chypre Shot;Epicee;3.0;1.6;1.0;0.7;1.5;0.0;0.0;0.85;0.0;0.6;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/cwn5qknx03xcfoqpwmkr1/ADChJ8SonBbR3G1FaiH8WLw?rlkey=mveraolmh2eh6aj98o9h88h45&st=sapgfdwc&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Flash Back in New York;Cuir;1.0;2.3;0.85;3.4;0.5;1.0;0.0;2.2;0.4;0.0;0.0;0.7;0.0;0.0;0.8;0.0;0.6;0.7;0.3
https://www.dropbox.com/scl/fo/ojtsa6gn0fchaeddeth9f/APW7sfdJPPXzWPwzTR3GITU?rlkey=1oelioi7txkph83p8iu0of769&st=v2g5ee5m&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Still Life;Hesperidee;2.0;0.4;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.2000000000000002;0.0;0.0;1.7999999999999998;0.0;0.0;1.5;0.0;1.2000000000000002
https://www.dropbox.com/scl/fo/nhq7740td3x67ze0n46dr/AKDvr8mQys0lNzIY5901Z_0?rlkey=870lrxgkmt3tdvzvnlsdsff2l&st=9s1q5k68&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Close Up;Fruitee;0.0;0.6;0.0;0.0;0.0;0.0;1.7999999999999998;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/14bhpsq3k69oabftl3tf0/AKswNYzHjdkAedeh83xY06A?rlkey=oi0uroz6mthbt8hb82aottl3o&st=ozpseomf&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Cycle 002;Epicee;3.0;1.2000000000000002;0.85;0.4;1.5;0.0;2.0;1.0;0.0;1.0;0.8;0.0;0.0;1.2;0.0;0.0;1.0;0.7;0.8
https://www.dropbox.com/scl/fo/7ndosmymcarfr5jug47p1/ANLEzVo6LeF2EhMUmROu8m0?rlkey=3iwdkv31bh365hsw6jbbec2pm&st=qfpy5g51&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Pour Rêver;Boisee;0.0;1.2;2.55;1.2000000000000002;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fo/loqkl085gisdpz25fi1jg/AKvQUQET2ebfshwVsavV5oA?rlkey=r2toirk4nc0061rsvt3fql8cx&st=m33i7zfm&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Abîme;Boisee;2.0;0.4;2.55;1.2000000000000002;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fo/m77j1kk90ri2yh3e5w1ct/AIhkkSUctX4enzig4YoaPvo?rlkey=eivfuk1cfexsh0w83l236ak1v&st=pti63dnq&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Un Air d'Apogée;Florale Poudree;0.0;1.6;0.0;0.7;0.0;2.4000000000000004;0.0;0.0;0.0;1.6;0.0;2.25;2.3;0.0;3.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fi/zgwszxvuzf3ehi22djslr/281845_img-3710-poecile-mont-cristal_480.jpg?rlkey=al71hc3rfkabvqkhbxhwsseos&st=ccqn94v1&dl=0;https://poecile.fr/;Poecile;Patrice Revillard;2019.0;Mont Cristal;Florale Poudree;0.0;0.0;0.0;0.0;0.0;2.4000000000000004;0.0;0.0;0.0;0.0;0.0;2.25;1.7999999999999998;0.0;3.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/69yvzurcxdlds102n3bqj/ABdPyimZOjkuSiWle0alh_8?rlkey=ticfmy4f2yw915k4a6evrhhd3&st=8rwy79bs&dl=0;https://www.ilado.fr/;Ilado;FLAIR;2019.0;To The Moon;Musquee;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;1.7999999999999998;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/brdpo6g0w7r9t5dh51y50/AGJgAj3f1lA3SkYw9nlg1XE?rlkey=x1ebfvdt4gdjgn3q48z6xmn8h&st=udp7nn2i&dl=0;https://www.judith-paris.com/;JUDITH PARIS;Jane Doe;2019.0;COL ROND;Musquee;0.0;1.5;0.85;0.4;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.7999999999999998;0.0;0.0;0.7;0.0
